fen,score,move
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -,19,c2c4
7k/7p/8/6N1/8/8/8/6RK w - -,mate 1,g5f7
r1bqk2r/pp2bppp/2n1pn2/3p2B1/2PP4/2NB1N2/PP3PPP/R2QK2R b KQkq -,-25,d5c4
4k3/6p1/3N2N1/5K2/8/8/8/8 b - -,84,e8d7
2kr1b1r/p2npppp/2p1bn2/7q/5B2/2NB3P/PPP1N1P1/2KR3R w - -,mate 1,d3a6
8/8/8/8/6Q1/4K3/8/7k b - -,mate 2,h1h2
1k6/8/K7/1P6/8/8/8/8 b - -,mate 13,b8c7
8/3k2p1/3N2N1/5K2/8/8/8/8 w - -,92,f5e5
rnbqkb1r/pp2pp1p/6p1/2pp4/3Pn3/1P1BPN2/PBP2PPP/RN1QK2R b KQkq -,11,d8a5
8/R4p1k/3r2p1/7p/7P/8/5PPK/8 b - -,0,h7g7
r3k2r/1p2pp2/p1npbnpb/6Qp/2B1P2P/1NN5/PPP2PP1/2KR2R1 w kq -,124,c4e6
4r1k1/3q2P1/6Q1/8/6p1/6Pp/7P/5R1K w - -,mate 27,f1f8
8/8/3k4/4PK2/8/8/8/8 b - -,0,d6e7
rnbqkb1r/pp1p1ppp/4pn2/2P5/2P5/8/PP2PPPP/RNBQKBNR w KQkq -,3,c1e3
2rqkb1r/pp2pppp/2n2nb1/1BppN3/6PP/1P2P3/PBPP1P2/RN1QK2R b KQk -,88,d5d4
8/2k5/K7/1P6/8/8/8/8 w - -,mate 13,b5b6
3r4/1p4k1/p1bP4/5p1p/5P2/3B4/PP4P1/3KR3 w - -,4,e1e7
8/3k4/8/3K4/3P4/8/8/8 w - -,0,d5c5
8/8/8/8/6Q1/4K3/7k/8 w - -,mate 2,e3f3
r1b2rk1/pp3p1p/1q2p1p1/2npP1N1/8/4R3/PPQ2PPP/R4BK1 b - -,0,h7h6
r1q1r1k1/p1pb1pp1/2p1pn1p/4N3/Q1B1P3/B7/P4PPP/3R1RK1 w - -,662,c4a6
rnbqkb1r/p3pppp/2p2n2/8/p1pP4/1P2PN2/5PPP/RNBQKB1R w KQkq -,121,b3c4
rnbqkbnr/pppp1ppp/8/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq -,8,b8c6
8/8/8/5k2/1N2p3/p7/K7/8 b - -,0,f5f4
r1bq1rk1/p2nbppp/1pp1pn2/3p4/2PP4/5NP1/PPQ1PPBP/RNBR2K1 w - -,24,b1d2
r1bqkb1r/ppp2pp1/5n1p/n2Pp1N1/2B5/3P4/PPP2PPP/RNBQK2R w KQkq -,-18,g5f3
2kr4/3p4/8/8/5B2/8/8/5BK1 w - -,mate 1,f1a6
5k2/6Pp/2B5/PPR5/3P4/6rP/6P1/1b4K1 b - -,831,f8g7
8/3B4/6k1/p4p2/5P1p/Pb6/1P4P1/6K1 b - -,731,b3c2
3rqrk1/p1p2ppp/2P2n2/8/1b4b1/2N5/PPP1BPPP/R1BQ1RK1 w - -,-108,e2g4
4r1k1/3q1pp1/6n1/b2p2Pp/2pP2b1/p1P1Q3/P1B2PPB/1R3NK1 w - -,-30,b1b8
8/6k1/2r3p1/8/6Pp/4R2P/5PK1/8 w - -,10,f2f4
r1b2rk1/3nppbp/p2p2p1/Qpp5/2RPP3/5P2/PP2N1PP/1K3B1R b - -,-56,b5c4
8/Pq4pk/5pQp/5P1K/6PP/8/8/8 b - -,mate 20,h7h8
3rk2r/pp2bpp1/1np1p2p/1Q2P2P/5P2/2P3N1/PP1B2P1/R4RK1 b k -,10,c6b5
8/3k4/8/8/2KP4/8/8/8 b - -,0,d7c6
rnbqkbnr/pppp1ppp/4p3/3P4/8/8/PPP1PPPP/RNBQKBNR b KQkq -,-65,e6d5
8/8/8/8/6Q1/5K2/7k/8 b - -,mate 1,h2h1
5N2/1p6/5p1k/p2ppbp1/P2PP3/5PKP/6P1/8 b - -,-258,d5e4
r1bqkbnr/ppp1pppp/2n5/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq -,39,e2e3
2k1rb1r/ppp3pp/2n2q2/3B1b2/5P2/2P1BQ2/PP1N1P1P/2KR3R b - -,mate -2,f6c3
8/6k1/2r3p1/8/5PPp/4R2P/6K1/8 b - -,11,c6c2
8/8/8/8/8/KN2k3/5p2/8 b - -,mate -13,f2f1q
