fen,score,move
8/8/6k1/1B3p2/p4P1p/Pb6/1P4P1/6K1 b - -,620,g6h5
r1bqk2r/pp2ppbp/2np1np1/8/2BNP3/2N1BP2/PPP3PP/R2QK2R b KQkq -,30,d8b6
rnbqkb1r/ppp2ppp/4pn2/3p2B1/3PP3/2N5/PPP2PPP/R2QKBNR b KQkq -,11,d5e4
2Q5/3K4/k7/8/8/8/8/8 b - -,mate 5,a6b5
rn1qk2r/p1p1pp1p/1p2b1pb/8/2pP3B/2P1P2N/P4PPP/1R1QKB1R w Kkq -,12,e3e4
r1bqkbnr/pppp1ppp/2n5/8/3QP3/8/PPP2PPP/RNB1KBNR w KQkq -,-4,d4e3
2r1r1k1/8/6Q1/4N1p1/P7/1q5P/5PP1/4R1K1 b - -,mate 14,g8h8
Q5R1/8/4nbpk/8/2N5/5p2/8/5K2 w - -,mate 6,a8e4
r4r1k/5p1p/b2ppp2/q3P3/1p2QP2/1R6/P5PP/5R1K w - -,0,e4h7
r1br2k1/pp3ppp/2n1p3/3n4/2N5/2P1B1P1/P3PPBP/2R2RK1 b - -,-39,b7b6
rnbqkb1r/pp3ppp/2p1pn2/3p4/2P5/2N1PNP1/PP1P1P1P/R1BQKB1R b KQkq -,-11,f8b4
r1b1kb1r/1ppp1pp1/p1n5/4p3/B3P1pq/8/PPPP1PPN/RNBQ1RK1 w kq -,mate -8,f2f4
r3kb1r/pp1n1ppp/1q1p1n2/4pN2/4P3/2N5/PPP2PPP/R1BQK2R w KQkq -,120,e1h1
8/8/3k4/r7/4K3/8/8/8 w - -,mate -12,e4e3
2k2r2/2p4p/p1n2p1P/5PpN/1pr1P3/2P1RP2/PK6/6R1 b - -,21,f8d8
6r1/1p6/p1b2k2/5p1p/2P2P2/8/PPK1B1P1/7R w - -,25,h1h5
r2q1rk1/ppp1b1pp/1nn1b3/4pp2/3P4/2N1BNP1/PP2PPBP/2RQ1RK1 b - -,-60,e5e4
3r1n1r/1Pp1kbp1/1n3p2/RP1P3p/4P3/3BBN1P/5PP1/1R4K1 b - -,713,d8b8
2Q5/3K4/8/1k6/8/8/8/8 w - -,mate 5,c8c3
r1bqk1nr/2p3pp/p1pb1p2/3pp3/2P5/1P2PN2/PB1P1PPP/RN1QK2R w KQkq -,0,d1c2
rnb1kb1r/p2p1ppp/6q1/1p3N1P/4Pp2/3P4/PPP5/RNBQ1KR1 b kq -,167,g6c6
r3rnk1/1p3pp1/p1p1b2p/3q4/3PR2P/P5N1/1PBQ1PP1/4R1K1 w - -,77,e4e5
r3k2r/pp2bpp1/2p1pn1p/3q3P/3P4/5N2/PPPBQPP1/2KR3R w kq -,26,c2c4
2r3N1/8/8/5K1k/6R1/7P/8/8 w - -,mate 2,g8f6
8/8/8/5p1k/8/8/8/7K w - -,0,h1g1
1k6/2p2pp1/p1b4p/2pN4/P7/1P1P4/2P2BPP/6K1 b - -,64,c6d5
6k1/7p/3b1pp1/1p6/4P3/7r/2R5/6K1 b - -,-1091,d6e5
rnbqkb1r/3p2pp/p3pn2/1Pp5/8/4P3/PP3PPP/RNBQKBNR w KQkq -,66,g1f3
r3Rrk1/pp4pp/n1p5/3n4/2Bb4/7P/PqPBQPP1/4R1K1 w - -,672,e2e6
1K6/5r2/P1k5/8/8/8/8/8 w - -,mate -2,b8a8
r1bqkbnr/pp2pppp/2n5/8/Q1p1PN2/2Pp1N2/PP1P1PPP/R1B1KB1R w KQkq -,209,a4c4
1R6/5pkp/p3p1r1/3bP1P1/3NqQP1/8/8/6K1 w - -,mate 3,f4f6
8/8/8/4r3/2k5/4K3/8/8 w - -,mate -10,e3f4
2r1rk2/8/6Q1/4N1p1/P7/1q5P/5PP1/4R1K1 w - -,mate 1,e5d7
rnbqkb1r/ppp2ppp/4pn2/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq -,10,b2b3
8/8/3Q4/8/1P2k3/P3p3/4K3/2q5 w - -,416,d6e6
rnbqkb1r/ppp1pppp/7n/3p4/5P2/3P1N2/PPP1P1PP/RNBQKB1R b KQkq -,-19,e7e6
r1bqk2r/pppp1ppp/5n2/1Bb5/3PP3/5Q2/PPP2PPP/RNB2RK1 b kq -,354,c5e7
rn3rk1/pp2nppp/3p3q/3P4/2P2pb1/5N2/PP1PK1PP/R1B1QB1R w - -,-213,e2d1
5rqk/6bp/8/4Q2P/3B4/8/6P1/6K1 w - -,-13,h5h6
r1bqkbnr/pp2pppp/2n5/8/2Q1PN2/2Pp1N2/PP1P1PPP/R1B1KB1R b KQkq -,208,e7e5
3R4/8/8/2K5/8/8/2k5/8 b - -,mate 7,c2c3
rnbqkb1r/pp3ppp/4p3/3n4/3N4/2N5/PP2PPPP/R1BQKB1R w KQkq -,0,c1d2
1k6/2p2pp1/p6p/2pb4/P7/1P1P4/2P2BPP/6K1 w - -,53,f2c5
3r2k1/pp5p/6p1/2Ppq3/4N3/4BB1K/PP2P3/R1Q1R3 b - -,1212,h7h5
r1bqk2r/pp3p2/4p1pp/2npP1N1/7Q/8/PP3PPP/R3RBK1 w kq -,-58,h4b4
r3rnk1/1p3pp1/p1p1b2p/3qR3/3P3P/P5N1/1PBQ1PP1/4R1K1 b - -,70,d5d7
rq1r2k1/1pQ1n1p1/p3p2p/P2pP3/1P1P4/6B1/5PPP/2R1R1K1 b - -,0,e7c6
2kr3r/pbp3pp/1p2qp2/2p5/4P3/1P1PB3/P1P2QPP/R4RK1 b - -,0,c8b8
r1bqrnk1/5p1p/p2p1np1/1pp1p3/3PP3/1BP2N1P/PP1N1PP1/R2QR1K1 w - -,5,d4c5
6R1/8/4nbpk/8/2N1Q3/5p2/8/5K2 b - -,mate 5,e6f4
8/r3K1k1/4P3/8/8/8/3R4/8 w - -,0,d2d7
3R4/8/8/2K5/8/1k6/8/8 w - -,mate 7,d8d3
1q3rk1/4npp1/4b2p/b2p4/2pP2P1/p1P2QB1/P1B2PP1/5NK1 w - -,129,g3b8
r2q3k/1b4bp/p7/1pP3Q1/1P4p1/P4r2/5PNP/2B2R1K b - -,-1567,f3f2
3k4/8/pKP5/P7/8/8/8/8 w - -,mate 11,b6a6
r1br2k1/p4ppp/1pn1p3/3n4/2N5/2P1B1P1/P3PPBP/2R2RK1 w - -,-29,g2d5
r1bqkb1r/pp2pppp/3p1n2/2p5/3nP3/1PN4P/PBPP1PP1/R2QKBNR w KQkq -,-3,g1f3
2b1qrk1/4n1p1/4p2p/b2p4/2pP2P1/p1P2QB1/P1B2PP1/1R3NK1 w - -,180,f3e3
r3r3/1p1n1pkp/2ppq1pN/p1b1p1Bn/P1P1P3/1PN2Q1P/2P2PP1/3R1RK1 w - -,17,h6f5
8/8/8/4r3/2k5/5K2/8/8 b - -,mate -10,c4d3
rnbqkb1r/ppp1pppp/7n/8/3p1P2/3P1N2/PPP1P1PP/RNBQKB1R w KQkq -,40,e2e4
r2q1rk1/ppp1b1pp/1nn1b3/5p2/3Pp3/2N1BNP1/PP2PPBP/2RQ1RK1 w - -,-63,f3d2
rnb1kb1r/p2p1ppp/5nq1/1p3N1P/4PpP1/3P4/PPP5/RNBQ1KR1 b kq -,143,g6g5
r2q1rk1/pp3pbp/2p1pnp1/3nN3/3P4/2P2N2/PP1BQPPP/R4RK1 w - -,110,c3c4
1k6/2p2pp1/p6p/2Bb4/P7/1P1P4/2P3PP/6K1 b - -,64,g7g6
8/2B5/8/2KB4/8/4k3/8/8 w - -,mate 13,c5c4
6r1/1p6/p1b2k2/5p1R/2P2P2/8/PPK1B1P1/8 b - -,22,g8g2
r1bqr1k1/1p3pb1/2pp1npp/p3p3/Pn1PP1P1/2N1B1NP/1PP2PB1/R2Q1RK1 w - -,69,d1d2
1k1r3r/pbp3pp/1p2qp2/2p5/4P3/1P1PB3/P1P2QPP/R4RK1 w - -,0,a1e1
5r1k/7p/p7/3p1pp1/R2P1Pb1/2P4Q/1P1N3P/4r1K1 w - -,-59,h3f1
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq -,-80,d5e4
8/8/8/8/1P2k3/P2Qp3/4K3/2q5 b - -,332,e4f4
rn1q1rk1/p3bppp/bpp1p3/4P3/2p1P3/1P4P1/P1QB1PBP/RN3RK1 w - -,-128,b3c4
r3Rr1k/pp4pp/n1p1Q3/3n4/2Bb4/7P/PqPB1PP1/4R1K1 w - -,714,e8a8
r1bqk2r/pp2ppbp/2np1np1/8/2BNP3/2N1B3/PPP2PPP/R2Q1RK1 b kq -,-12,f6g4
r1bqk2r/pppp1ppp/5n2/1B6/3bP3/5Q2/PPP2PPP/RNB2RK1 w kq -,360,e4e5
8/8/3k4/r7/3K4/8/8/8 b - -,mate -11,a5e5
2r1r2k/8/6Q1/4N1p1/P7/1q5P/5PP1/4R1K1 w - -,mate 14,g6h6
5rk1/1R4Rp/8/8/8/8/8/1K6 b - -,mate 2,g8h8
3r1n1r/1Pp1kbp1/1n3p2/RP1P3p/4P3/3BBN1P/5PP1/2R3K1 b - -,965,f8d7
8/8/8/5p1k/8/8/6K1/8 b - -,mate -16,h5g4
r1bqkb1r/ppp2ppp/2nppn2/8/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq -,55,c2c4
rn1qk2r/p1p1pp1p/1p4pb/3b2N1/2pP3B/2P1P3/P4PPP/1R1QKB1R w Kkq -,-64,d1c2
8/8/3k4/P4B2/5P1K/P5P1/8/5b2 b - -,1256,f1e2
rnbqkb1r/pp2pppp/2p2n2/6B1/3P4/2N2Q2/PPP3PP/2KR1BNR w kq -,48,f3g3
r1b1k1nr/2qnppbp/2p3p1/ppNpP3/1P1P1B2/2PB1P2/P5PP/R2QK1NR b KQkq -,43,a5b4
r2qk2r/pppbbppp/2Bp1n2/4p3/4PP2/2NP1N2/PPP3PP/R1BQK2R b KQkq -,87,d7c6
3r2k1/2p2ppp/8/4p3/p7/Pn5P/2Q2PP1/6K1 w - -,299,c2c7
r1b1kb1r/pp2pppp/2n5/1B6/8/2P2N2/PP3PPP/R1BK3R b kq -,1,a7a6
r1bqkb1r/1p2pppp/p2p1n2/2p5/P2nP3/1PN4P/1BPP1PP1/R2QKBNR w KQkq -,-17,g1f3
8/r2RK1k1/4P3/8/8/8/8/8 b - -,0,a7a3
3k4/8/K1P5/P7/8/8/8/8 b - -,mate 10,d8c7
r1b1kbnr/ppp2ppp/2n5/3qp3/8/2N2N1P/PPPP1PP1/R1BQKB1R b KQkq -,50,d5d6
8/4k3/6KP/8/8/8/8/8 b - -,mate 10,e7d6
rn1q1rk1/p3bppp/bpp1p3/4P3/2P1P3/6P1/P1QB1PBP/RN3RK1 b - -,-126,b8d7
8/1p6/p1b2k2/5p1R/2P2P2/8/PPK1B1r1/8 w - -,21,c2d3
rn3rk1/pp2nppp/3p3q/3P4/2P2pb1/5N2/PP1P2PP/R1BKQB1R b - -,-228,f8e8
6R1/8/5bpk/8/2N1Qn2/5p2/8/5K2 w - -,mate 5,e4f4
rnbqkb1r/ppp1pppp/5n2/6B1/3P4/2N2Q2/PPP3PP/2KR1BNR b kq -,32,c7c6
r1bqkbnr/ppp2ppp/2np4/4p3/2BPP3/5N2/PPP2PPP/RNBQK2R b KQkq -,34,e5d4
rnb1kb1r/p2p1ppp/5n2/1p3NqP/4PpP1/3P4/PPP5/RNBQ1KR1 w kq -,154,d1f3
r2qk2r/ppp1bppp/2bp1n2/4p3/4PP2/2NP1N2/PPP3PP/R1BQK2R w KQkq -,89,f4e5
8/8/8/4r3/8/3k1K2/8/8 w - -,mate -9,f3f4
8/8/3k2KP/8/8/8/8/8 w - -,mate 10,h6h7
5r1k/1R4Rp/8/8/8/8/8/1K6 w - -,mate 2,g7h7
8/8/8/8/1P3k2/P2Qp3/4K3/2q5 w - -,294,d3d4
r1b1kb1r/pppn2pp/2n1pq2/3p4/3P4/5N2/PPPNBPPP/R1BQK2R w KQkq -,58,d2f1
rnbqnrk1/ppp1ppbp/3p2p1/4P3/2BP3P/5N2/PPP1QPP1/RNB1K2R b KQ -,6,c8g4
r1bqk2r/pp3p2/4p1pp/2npP1N1/3Q4/8/PP3PPP/R3RBK1 b kq -,-69,h6g5
2r1r2k/5N2/6Q1/6p1/P7/1q5P/5PP1/4R1K1 b - -,496,b3f7
r4r2/5p1k/b2ppp2/q3P3/1p3P2/1R6/P5PP/5R1K w - -,0,b3h3
rnbqkbnr/pp2pp1p/2p3p1/3p4/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq -,76,e4e5
rn3rk1/p3bppp/bpp1p3/4P3/2PqP3/6P1/P1QB1PBP/RN3RK1 w - -,-113,f1d1
r1bqkbnr/pp1npppp/2p5/3p4/3PP3/5P2/PPP3PP/RNBQKBNR w KQkq -,41,e4e5
8/8/8/8/1P1Q1k2/P3p3/4K3/2q5 b - -,294,f4f5
rn1qkb1r/pppbpppp/5n2/1B1P4/8/8/PPPP1PPP/RNBQK1NR w KQkq -,43,b5c4
1k1r1r2/pbp3pp/1p2qp2/2p5/4P3/1P1PB3/P1P2QPP/4RRK1 w - -,0,a2a4
5r1k/1R5R/8/8/8/8/8/1K6 b - -,mate 1,h8g8
rnbqkbnr/pp2pppp/2p5/8/4p3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq -,16,c3e4
R4r1k/pp4pp/n1p1Q3/3n4/2Bb4/7P/PqPB1PP1/4R1K1 b - -,707,d4f2
8/7P/3k2K1/8/8/8/8/8 b - -,mate 9,d6c5
4B3/8/6k1/5p2/p4P1p/P7/1P4P1/3b2K1 b - -,592,g6f6
r1bqkb1r/1p2pppp/p2p1n2/2p5/P3P3/1PN4P/1BPPnPP1/R2QKB1R w KQkq -,39,f1e2
8/1p6/p1b2k2/5p1R/2P2P2/3K4/PP2B1r1/8 b - -,23,c6e4
8/2k5/2P5/PK6/8/8/8/8 b - -,mate 9,c7c8
R7/P4kp1/4n3/5Nb1/2p5/5p2/8/5K2 b - -,mate 57,e6c7
rnb1kb1r/p2p1ppp/5n2/1p3NqP/4PpP1/3P1Q2/PPP5/RNB2KR1 b kq -,145,c8b7
r2q1rk1/pp3pbp/2p1pnp1/3nN3/3P4/2P2N2/PP1BQPPP/3R1RK1 b - -,89,a7a5
rq1r2k1/1pQ3p1/p1n1p2p/P2pP3/1P1P4/6B1/5PPP/2R1R1K1 w - -,0,c7b6
8/7P/6K1/2k5/8/8/8/8 w - -,mate 9,h7h8q
8/6k1/6Q1/6K1/8/8/8/7r b - -,mate 13,g7f8
r1bqkbnr/pp2pppp/2n5/3p4/3P4/2PB4/PP3PPP/RNBQK1NR b KQkq -,19,e7e5
rn3rk1/pp3ppp/3p3q/3P1n2/2P2pb1/5N2/PP1P2PP/R1BKQB1R w - -,-218,h2h3
8/8/3k4/8/r2K4/8/8/8 w - -,mate -12,d4e3
5rk1/1R5R/8/8/8/8/8/1K6 w - -,mate 1,b7g7
5k2/8/6Q1/6K1/8/8/8/7r w - -,mate 13,g6f5
4n1k1/Q2nP1p1/1p5p/2pq1p2/7B/P4N2/1P3PPP/1K6 b - -,-142,g7g5
3k4/8/2P5/PK6/8/8/8/8 w - -,mate 8,a5a6
R7/P5k1/8/8/2P5/8/1K6/r7 b - -,3576,a1a5
2K5/5r2/P7/2k5/8/8/8/8 b - -,mate -6,c5d6
r1b2rk1/pp3p2/2nq3p/3pN1pn/2pP4/2P3PP/PPB3PK/RN1Q1R2 b - -,0,h5g3
rnbqkb1r/pppp1ppp/4pn2/8/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq -,-21,d7d5
1k1r1r2/pbp3pp/1p2qp2/2p2Q2/4P3/1P1PB3/P1P3PP/4RRK1 b - -,-1,e6g8
rnbqkbnr/pp3ppp/4p3/2pp4/2PP4/2N1P3/PP3PPP/R1BQKBNR b KQkq -,10,g8f6
r1b1k2r/pp3p2/4p1pp/2npP1q1/3Q4/8/PP3PPP/R3RBK1 w kq -,-33,d4c5
8/8/8/4r3/5K2/3k4/8/8 b - -,mate -9,e5b5
3k4/8/P1P5/1K6/8/8/8/8 b - -,mate 7,d8c7
rnbqkbnr/pp2pp1p/6p1/3p4/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq -,42,f1d3
r2qkbnr/pppb1ppp/2Bp4/8/3NP3/8/PPP2PPP/RNBQK2R b KQkq -,31,b7c6
r1br2k1/pp3ppp/2n1p3/8/2N5/2n1B1P1/P3PPBP/R2R2K1 w - -,-3,d1d8
rnbqkbnr/ppp2ppp/8/4p3/3P1p2/2N2N2/PPP1Q1PP/R1B1KB1R b KQkq -,50,c8e6
r5rk/pp1nbpp1/4p2p/q2pP2P/2P2B2/5NR1/1P3PP1/R2Q2K1 b - -,-88,a5b4
1R1b4/3q1ppk/6n1/3p2Pp/2pP2b1/p1P5/P1B1rPPB/2Q2NK1 w - -,-77,c1b1
r3r2k/1p1n1p1p/2ppq1p1/p1b1pNBn/P1P1P3/1PN2Q1P/2P2PP1/3R1RK1 w - -,14,g1h2
8/1p6/p4k2/5p1R/2P1bP2/3K4/PP2B1r1/8 w - -,24,d3e3
r4rk1/ppq2pbp/2p1pnp1/3nN3/3P4/2P2N2/PP1BQPPP/3R1RK1 w - -,109,c3c4
qrnkrbbn/pppppppp/8/8/8/1P6/P1PPPPPP/QRNKRBBN b KQkq -,17,e7e5
r1b1k2r/pp3p2/4p1pp/2QpP1q1/8/8/PP3PPP/R3RBK1 b kq -,-40,c8d7
rnbqk2r/pppp1ppp/8/2b1p3/4P1n1/3B1N2/PPPPQPPP/RNB1K2R w KQkq -,15,e1h1
r2q3k/1b4bp/p7/1pP3Q1/1P4p1/P7/5rNP/2B2R1K w - -,mate -7,h2h4
7Q/8/6K1/2k5/8/8/8/8 b - -,mate 8,c5c4
r4r2/5p2/b2pppk1/q3P3/1p3P2/7R/P5PP/5R1K w - -,0,f4f5
8/8/8/4r3/3k1K2/8/8/8 w - -,mate -10,f4f3
8/2k5/P1P5/1K6/8/8/8/8 w - -,mate 7,a6a7
2rqkb1r/pp1n1ppp/2n1p3/1B1p1b2/3P1B2/2N1PN2/PP3PPP/R2Q1RK1 w k -,0,a1c1
4B3/8/5k2/5p2/p4P1p/P7/1P4P1/3b2K1 w - -,519,g1h2
rn3rk1/pp3ppp/3p3q/3P1n2/2P2pb1/5N2/PP1PB1PP/R1BKQ2R b - -,-286,f8e8
rn1qkb1r/pppbpppp/5n2/3P4/8/8/PPPPBPPP/RNBQK1NR b KQkq -,30,f6d5
rnbqkb1r/pp2pppp/2p2n2/8/4N3/5N2/PPPPQPPP/R1B1KB1R b KQkq -,23,f6e4
r1bR2k1/pp3ppp/2n1p3/8/2N5/2n1B1P1/P3PPBP/R5K1 b - -,0,c6d8
rn3rk1/p3bppp/bpp1p3/4P3/2PqP3/2B3P1/P1Q2PBP/RN3RK1 b - -,-132,d4c4
8/8/6Kp/1B3p2/8/4p1P1/5k1P/8 w - -,mate 19,g6f5
1B3rk1/4npp1/4b2p/b2p4/2pP2P1/p1P2Q2/P1B2PP1/5NK1 b - -,177,f8b8
r1bq1bk1/pp3r2/3p3p/PP1Pp1p1/4N2n/3B4/5PPP/R1BQ1RK1 w - -,239,a5a6
rnb1kbnr/p2p1ppp/8/1p3NqP/4PpP1/3P1Q2/PPP5/RNB2KR1 w kq -,237,c1f4
r1bqkb1r/1ppp1pp1/p1n2n1p/3Pp3/2B1P3/2N2N2/PPP2PPP/R1BQK2R b KQkq -,89,c6a5
7Q/8/6K1/8/1k6/8/8/8 w - -,mate 8,h8d4
3R4/8/8/8/1k1K4/8/8/8 w - -,mate 7,d8b8
r1bqr1k1/1p3pb1/2pp1npp/p3p3/Pn1PP1P1/2N1B1NP/1PPQ1PB1/R4RK1 b - -,67,e5d4
rnbqk2r/pppp1ppp/4pn2/8/1b1P4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq -,0,e2e3
r1b2rk1/pp3p2/2nq3p/3pN1p1/2pP4/2P3KP/PPB3P1/RN1Q1R2 b - -,0,f7f6
8/6p1/2Bn3p/1PkPp1pP/4P3/5K2/8/8 w - -,0,f3g4
r1bq1rk1/p4ppp/2B2n2/2bp4/8/2NP4/PPP2PPP/R1BQK2R b KQ -,0,f6g4
rnbqkbnr/ppp2ppp/8/3pp3/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq -,57,d4e5
8/1p6/p4k2/5p1R/2P1bP2/4K3/PP2B1r1/8 b - -,17,g2g3
rQ1r2k1/1p4p1/p1n1p2p/P2pP3/1P1P4/6B1/5PPP/2R1R1K1 b - -,-42,a8b8
r1bq1rk1/ppp2ppp/2np3n/2b1p1N1/2B1P3/3P1Q2/PPP2PPP/RNB1K2R w KQ -,-65,c2c3
4r1k1/2Q2ppp/8/4p3/p7/Pn5P/5PP1/6K1 w - -,305,c7d7
8/8/8/8/6k1/P7/5K2/8 w - -,mate 15,a3a4
r2qkbnr/ppp2ppp/2bp4/8/3NP3/8/PPP2PPP/RNBQK2R w KQkq -,71,b1c3
8/8/3k4/8/r7/4K3/8/8 b - -,mate -11,d6d5
2K5/5r2/P2k4/8/8/8/8/8 w - -,mate -5,a6a7
rnbqkbnr/pp2pp1p/6p1/3p4/3P4/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,14,f8g7
8/8/8/4r3/3k4/5K2/8/8 b - -,mate -10,e5e4
r4rk1/2R5/1n2N1pp/2Rp4/p2P4/P3P2P/qP3PPK/8 w - -,mate 6,c7g7
1R1b4/3q1ppk/6n1/3pB1Pp/2pP2b1/p1P5/P1B1rPP1/2Q2NK1 b - -,-69,g4f5
r1bn2k1/pp3ppp/4p3/8/2N5/2n1B1P1/P3PPBP/R5K1 w - -,-1,c4d6
r6k/p4p1p/3bp1r1/1p4qN/P1pP1pPn/2Q4P/1PB2P2/4R1RK b - -,-302,b5b4
8/8/7p/1B3K2/8/4p1P1/5k1P/8 b - -,mate 18,f2g2
8/8/8/8/P5k1/8/5K2/8 b - -,mate 12,g4h5
r2qkbnr/ppp2ppp/2Np4/8/4P3/8/PPP2PPP/RNBQK2R b KQkq -,65,b7c6
r1bq1rk1/p4ppp/2B5/2bp4/6n1/2NP4/PPP2PPP/R1BQK2R w KQ -,-2,d3d4
8/1p6/p4k2/5p1R/2P1bP2/4K1r1/PP2B3/8 w - -,35,e3f2
rnbqkb1r/ppp1pppp/7n/8/3pPP2/3P1N2/PPP3PP/RNBQKB1R b KQkq e3,30,f7f6
r4rk1/pp2bpp1/2p1pn1p/4N2P/3P1BP1/8/PPP2P2/1K1RR3 b - -,25,e7d6
rnbqk2r/pppp1ppp/4pn2/8/1b1P4/2N2N2/PPPBPPPP/R2QKB1R b KQkq -,-9,b7b6
8/3B4/5k2/5p2/p4P1p/P7/1P4P1/3b2K1 b - -,582,f6g6
r1b2rk1/pp6/2nq1p1p/3pN1p1/2pP4/2P3KP/PPB3P1/RN1Q1R2 w - -,0,b1a3
rnbqkb1r/pp2pp1p/5np1/3p4/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,21,h2h3
r1bqr3/1p3pbk/2pp1npp/p3p3/Pn1PP1P1/2N1B1NP/1PPQ1PB1/R4RK1 w - -,114,a1d1
r1bqkbnr/pp1n1ppp/2p1p3/3p4/3PP3/2NB1P2/PPP3PP/R1BQK1NR b KQkq -,0,d5e4
r6k/p4p1p/3bp1r1/6qN/PppP1pPn/2Q4P/1PB2P2/4R1RK w - -,-335,c3c4
r4rk1/pp1n1ppp/3p3q/3P1n2/2P2pb1/5N2/PP1PB1PP/R1BKQ2R w - -,-253,e1f2
8/8/8/8/P4k2/8/5K2/8 w - -,mate 12,a4a5
8/8/8/5r2/3k4/5K2/8/8 w - -,mate -9,f3g4
2r1r1k1/8/7Q/4N1p1/P7/1q5P/5PP1/4R1K1 w - -,mate 13,h6g5
rnbqk2r/pp1pppbp/5np1/2p5/2PP4/2N1P3/PP3PPP/R1BQKBNR w KQkq -,29,d4d5
r4rk1/pb2pp1p/n1pq1npQ/1p2N3/2BPN1P1/5P2/PPP5/2KR3R b - -,mate 4,f6h5
8/8/8/3k4/r7/4K3/8/8 w - -,mate -10,e3d2
7K/8/8/8/8/6k1/5p2/5Q2 b - -,mate 10,g3f3
2K5/P4r2/3k4/8/8/8/8/8 b - -,mate -5,f7a7
r4rk1/ppq2pbp/2p1pnp1/3nN3/2PP4/5N2/PP1BQPPP/3R1RK1 b - -,106,d5e7
r2qkbnr/p1p2ppp/2pp4/8/4P3/8/PPP2PPP/RNBQK2R w KQkq -,78,b1c3
8/3B2p1/7p/1nkPp1pP/4P3/5K2/8/8 w - -,0,d7b5
1R1b4/3q1ppk/6n1/3pBbPp/2pP4/p1P5/P1B1rPP1/2Q2NK1 w - -,-67,b8d8
2R5/8/8/1k6/3K4/8/8/8 w - -,mate 9,d4c3
8/1p6/p4k2/5p1R/2P1bP2/6r1/PP2BK2/8 b - -,19,g3g2
rnb1kbnr/p2p1ppp/5q2/1p3N1P/4PBP1/3P1Q2/PPP5/RN3KR1 w kq -,245,b1c3
2b1Q3/2p5/pk1b4/N2P4/1P5p/p6P/K3R1P1/5q2 w - -,mate 20,e8e3
rnbq1rk1/pppp1ppp/4pn2/8/1b1P4/2N2N2/PPPBPPPP/R2QKB1R w KQ -,3,a2a3
r1bn2k1/pp3ppp/3Np3/8/8/2n1B1P1/P3PPBP/R5K1 b - -,0,d8c6
r2qbnk1/1p3pp1/p1p4p/5N1P/3P4/P7/1PBQ1PP1/4R1K1 b - -,158,d8f6
1k1r1r2/pbp3p1/1p1q1p1p/2p5/4P3/1P1PB2Q/P1P2RPP/4R1K1 b - -,-2,d8e8
8/8/8/P7/5k2/8/5K2/8 b - -,mate 10,f4e4
2r1r1k1/8/8/4N1Q1/P7/1q5P/5PP1/4R1K1 b - -,mate 12,g8h7
r1bq1rk1/ppp1bppp/2np1n2/4p3/2B1P3/2PP1N2/PP3PPP/RNBQR1K1 b - -,4,c6a5
rnbqk2r/pp1pppbp/5np1/2pP4/2P5/2N1P3/PP3PPP/R1BQKBNR b KQkq -,18,e7e6
rnbqkb1r/pp2pppp/5n2/2p5/Q1pP4/5NP1/PP2PP1P/RNB1KB1R b KQkq -,0,d8d7
rnbqkb1r/ppp1pppp/7n/8/5P2/3PpN2/PPP3PP/RNBQKB1R w KQkq -,48,c1e3
8/8/8/8/1k6/p7/2K5/8 w - -,0,c2b1
r1bqk2r/pppp1ppp/5n2/1B2P3/3b4/5Q2/PPP2PPP/RNB2RK1 b kq -,343,e8h8
2n2rk1/3q2p1/4b3/b2pBp1Q/2pP2p1/p1P3N1/P1B2PP1/1R4K1 w - -,167,h5h2
rnbqnrk1/ppp1ppbp/3p2p1/4P3/2BP4/5N2/PPP1QPPP/RNB1K2R w KQ -,57,b1c3
7K/8/8/8/8/5k2/5p2/5Q2 w - -,mate 10,h8g7
8/8/7p/1B3K2/8/4p1P1/6kP/8 w - -,mate 18,h2h4
8/8/8/P3k3/8/8/5K2/8 w - -,mate 10,a5a6
r1b1kb1r/4pppp/p1n5/1p6/B7/2P2N2/PP3PPP/R1BK3R w kq -,16,a4c2
8/8/8/5r2/3k2K1/8/8/8 b - -,mate -9,d4e4
r3r2k/1p1n1p1p/2ppq1p1/p1b1pNBn/P1P1P3/1PN2Q1P/2P2PPK/3R1R2 b - -,20,h5g7
8/8/8/3k4/r7/8/4K3/8 b - -,mate -9,d5e4
rnbq1rk1/pppp1ppp/4pn2/8/1b1PP3/2N2N2/PPPB1PPP/R2QKB1R b KQ -,-86,b4c3
8/1p6/p4k2/5p1R/2P1bP2/8/PP2BKr1/8 w - -,23,f2e3
rnbqkbnr/ppp2ppp/8/3pP3/8/2N5/PPP1PPPP/R1BQKBNR b KQkq -,67,d5d4
